Bankrupt,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
1,1999,227.122,630.835,52.741,133.47,89.77,41.069,110.804,611.712,890.089,878.643,409.739,80.729,259.254,127.396,126.401,890.089,599.238,756.619
0,2006,72.871,54.363,26.537,26.718,0,-0.444,23.872,525.7671,127.759,333.388,0.032,0.181,73.396,16.083,-6.133,127.759,16.175,101.041
0,2007,58.304,134.765,3.229,19.248,22.242,8.411,30.068,116.98,200.863,104.673,6.012,16.019,66.098,27.698,36.731,200.863,43.044,181.615
0,2013,1198.922,2557.79,79.73,268.167,410.002,151.3,498.565,2716.5424,3126.426,2296.381,554.79,188.437,568.636,589.663,588.202,3126.426,1351.499,2858.259
0,2016,63.984,200.513,13.26,28.003,8.873,10.925,44.288,162.5025,268.369,218.726,93.781,14.743,67.856,43.157,-196.769,268.369,144.779,240.366
1,1999,0.142,2.182,0.026,0.072,0,0.103,0.021,175.397,2.254,0.259,0,0.046,0.072,0.257,-4.804,2.254,0.257,2.182
0,2012,6.892,19.099,2.271,-0.22,1.656,-6.317,4.287,9.9307,28.208,26.975,5.998,-2.491,9.109,12.6,-14.464,28.208,18.598,28.428
0,2012,490.3,927.3,252.5,681.5,157.1,514.2,165,3759.0157,2141.8,4866,2801.3,429,1214.5,377.8,-246.2,2141.8,3509.1,1460.3
1,2011,300.427,515.674,225.763,356.867,25.503,90.046,95.282,1151.4427,943.623,3995.462,1903.431,131.104,427.949,334.173,569.485,943.623,2733.543,586.756
0,2000,38.52,14.726,0.862,5.089,0.902,4.749,5.425,116.3119,19.815,51.184,0.002,4.227,5.089,1.777,-14.296,19.815,1.779,14.726
0,2003,0.01,0.205,0.44,-1.312,0,-3.476,0,0.4935,0.626,0.023,0,-1.752,0.421,0.012,-60.362,0.626,0.012,1.938
1,2001,66.047,146.839,48.159,39.309,0,-30.553,34.394,569.2124,201.328,965.317,319.248,-8.85,54.489,51.849,-61.333,201.328,406.944,162.019
0,2014,139.828,60.023,4.2,37.905,18.323,19.918,30.735,1403.4665,164.525,185.368,0.029,33.705,104.502,31.973,81.109,164.525,56.262,126.62
0,2004,159.172,719.514,9.253,27.005,3.514,-18.627,98.445,141.1586,820.072,315.915,89.706,17.752,100.558,189.767,-456.259,820.072,439.295,793.067
0,1999,11.759,19.072,0.587,-3.891,4.181,-4.596,6.519,7.9506,28.301,16.621,0.165,-4.478,9.229,11.285,-19.985,28.301,12.232,32.192
1,1999,176.692,43.579,8.475,51.926,0.952,15.906,8.597,937.9145,95.505,290.1,150.017,43.451,51.926,25.2,-66.897,95.505,183.85,43.579
0,2000,100.52,233.51,35.081,90.598,21.392,27.355,66.061,376.0049,324.108,571.604,183.437,55.517,90.598,87.237,61.032,324.108,371.292,233.51
1,2002,14.269,21.583,1.833,-1.249,4.782,-33.549,8.422,1.7623,36.454,47.076,0.142,-3.082,14.871,40.756,-16.209,36.454,42.46,37.703
1,2004,730.857,1679.537,166.322,242.272,119.893,113.706,215.309,2208.5622,1974.651,3256.535,1001.323,75.95,295.114,375.054,-194.47,1974.651,2176.709,1732.379
1,2004,514.656,337.287,37.555,36.687,65.819,-72.122,133.06,843.0053,473.914,1020.771,330,-0.868,136.627,170.524,30.294,473.914,505.159,437.227
1,2017,6.242,29.39,1.008,0.428,3.562,-2.108,2.024,3.2162,40.213,12.627,2.801,-0.58,10.823,8.196,-58.196,40.213,10.997,39.785
0,2008,12.138,6.507,0.591,-1.435,1.49,-3.219,4.087,4.6227,24.517,15.566,4.039,-2.026,18.01,4.499,-58.927,24.517,9.003,25.952
0,1999,53.987,82.195,2.643,11.851,26.151,5.406,23.663,69.344,125.128,112.686,31.984,9.208,42.933,29.175,19.423,125.128,69.844,113.277
1,2013,16.055,35.418,2.2,-6.531,1.376,-11.275,8.398,37.2977,49.16,21.646,0,-8.731,13.742,7.476,-139.679,49.16,8.346,55.691
0,2000,228.543,295.479,15.763,69.116,73.984,32.587,83.336,388.7953,490.966,474.339,108.172,53.353,195.487,106.922,199.258,490.966,224.644,421.85
1,2001,210.487,470.281,14.123,24.915,160.212,0.425,30.553,32.324,719.122,391.174,131.862,10.792,248.841,106.109,46.856,719.122,273.002,694.207
0,2015,72.917,98.385,4.864,10.845,17.303,-11.706,26.999,153.0734,188.018,128.542,0,5.981,89.633,39.749,-88.434,188.018,39.749,177.173
1,2016,21.786,3.283,0.041,-9.913,0,-9.485,0.896,23.0547,7.94,21.993,0,-9.954,4.657,4.396,-1253.786,7.94,5.13,17.853
1,2007,61.287,165.571,8.67,-185.09,1.443,-204.676,6.533,187.2059,48.657,175.811,97.971,-193.76,-116.914,15.707,-408.073,48.657,129.112,233.747
1,2007,21.116,27.351,4.561,-32.565,5.072,-49.874,8.488,15.9976,29.388,41.751,2.352,-37.126,2.037,16.467,-239.144,29.388,18.827,61.953
0,2001,103.278,67.78,71.345,188.531,0,56.55,55.335,387.1157,265.608,789.988,334.769,117.186,197.828,79.938,-42.442,265.608,440.82,77.077
0,2004,12.939,21.104,0.404,-1.932,7.461,-3.769,4.612,10.3628,28.741,24.338,10.605,-2.336,7.637,10.027,-37.528,28.741,21.169,30.673
0,1999,136.666,43.151,4.177,28.51,0,17.88,38.736,569.8285,145.665,159.033,0,24.333,102.514,41.595,49.525,145.665,41.833,117.155
0,1999,10.699,13.964,1.704,3.621,7.148,0.809,2.375,6.7053,21.603,22.696,9.023,1.917,7.639,5.766,-5.015,21.603,15.502,17.982
1,2010,203.239,26.895,6.78,-13.056,1.877,-14.693,19.729,574.3254,45.691,401.253,20.474,-19.836,18.796,54.622,-430.604,45.691,98.176,58.747
0,1999,885.17,920.377,45.487,219.571,206.319,93.697,191.12,4556.7685,1214.744,1201.713,355.259,174.084,294.367,217.386,334.323,1214.744,575.366,995.173
0,2003,317.012,198.473,12.216,54.975,38.292,40.889,69.23,1491.024,471.912,348.119,0.607,42.759,273.439,120.407,-193.157,471.912,121.014,416.937
0,2017,245.445,949.884,8.255,74.584,0,33.285,232.981,664.7568,1357.94,384.304,119.12,66.329,408.056,83.719,195.243,1357.94,250.027,1283.356
0,2001,69.898,23.769,100.598,-56.002,0,-910.509,9.468,111.876,34.228,78.106,0,-156.6,10.459,18.101,-990.147,34.228,20.23,90.23
1,2010,368.124,464.878,115.03,169.764,25.527,-14.461,168.876,531.8063,659.475,1274.555,460.862,54.734,194.597,175.263,-61.493,659.475,686.489,489.711
0,2005,725.733,1607.852,91.865,485.04,398.684,221.785,241.708,1533.4638,2184.866,1757.687,438.419,393.175,577.014,207.177,744.344,2184.866,876.701,1699.826
0,2016,893.302,2641.734,289.908,439.276,330.815,102.313,395.876,2125.1538,3398.115,4698.017,1727.696,149.368,756.381,451.851,512.796,3398.115,2621.795,2958.839
1,2002,2.366,10.936,0.967,-9.832,1.414,-16.141,0.621,40.0758,1.104,23.768,0.04,-10.799,-9.832,17.992,-303.821,1.104,18.032,10.936
0,2003,148.615,1619.638,70.286,213.11,31.699,73.618,31.582,645.9086,2058.29,1175.95,290.746,142.824,438.652,237.734,273.498,2058.29,705.628,1845.18
1,2004,12.062,23.194,0.814,-4.349,6.015,-3.91,5.621,8.321,27.76,15.729,1.735,-5.163,4.566,11.532,-4.911,27.76,13.267,32.109
0,2004,7.376,4.436,1.124,-9.066,0,-9.691,4.108,26.0552,12.885,14.094,2.052,-10.19,8.449,7.953,-145.847,12.885,13.351,21.951
0,2018,5.58,1.537,0.088,-6.177,0.016,-9.004,2.181,20.3347,0.993,24.602,2.178,-6.265,-0.544,4.608,-50.707,0.993,11.762,7.17
